Active,Name,Date-Time(UTC),Alt,Azmu,HTML,StarNo,RA(J2000),DEC(J2000),T_MAX(HJD),T_MAX(UT),tau,U_min,A_MAX,D_mag,f_bl,I_bl,I_o
True,BLG-0642,8-7-2015 0:0:0,22.5563934092,156.801583825,http://ogle.astrouw.edu.pl/ogle4/ews/blg-0642.html,BLG715.13  ,17:34:09.47,-24:52:57.1,2457314.420,2015-10-18.92,120.795,0.161,6.263,1.992,1.000,16.739,16.739
True,BLG-0642,8-7-2015 0:54:0,22.5563934092,156.801583825,http://ogle.astrouw.edu.pl/ogle4/ews/blg-0642.html,BLG715.13  ,17:34:09.47,-24:52:57.1,2457314.420,2015-10-18.92,120.795,0.161,6.263,1.992,1.000,16.739,16.739
True,BLG-0642,8-7-2015 1:48:0,25.7825888418,171.335209483,http://ogle.astrouw.edu.pl/ogle4/ews/blg-0642.html,BLG715.13  ,17:34:09.47,-24:52:57.1,2457314.420,2015-10-18.92,120.795,0.161,6.263,1.992,1.000,16.739,16.739
True,BLG-1479,8-7-2015 1:48:0,21.0307612347,162.987566413,http://ogle.astrouw.edu.pl/ogle4/ews/blg-1479.html,BLG524.32  ,18:11:51.71,-28:03:16.4,2457266.252,2015-08-31.75,39.120,0.746,1.606,0.514,1.000,16.485,16.485
True,BLG-1578,8-7-2015 1:48:0,22.6044744801,163.61766768,http://ogle.astrouw.edu.pl/ogle4/ews/blg-1578.html,BLG518.22  ,18:07:31.52,-26:40:44.8,2457314.864,2015-10-19.36,53.880,0.000,16763,10.561,1.000,15.556,15.556
True,BLG-1609,8-7-2015 1:48:0,22.6081471589,164.669631179,http://ogle.astrouw.edu.pl/ogle4/ews/blg-1609.html,BLG511.29  ,18:03:17.71,-26:54:25.6,2457261.240,2015-08-26.74,23.154,0.578,1.939,0.719,1.000,16.421,16.421
True,BLG-1656,8-7-2015 1:48:0,22.5410125452,172.47965859,http://ogle.astrouw.edu.pl/ogle4/ews/blg-1656.html,BLG612.10  ,17:31:17.99,-28:13:39.3,2457267.757,2015-09-02.26,28.181,0.000,42700,11.576,1.000,16.337,16.337
True,BLG-1686,8-7-2015 1:48:0,21.6520271039,161.925021809,http://ogle.astrouw.edu.pl/ogle4/ews/blg-1686.html,BLG523.19  ,18:15:25.61,-27:11:35.6,2457243.716,2015-08-09.22,16.085,0.000,8958.6,9.881,1.000,16.972,16.972
True,BLG-0642,8-7-2015 2:42:0,26.0045742669,186.501518275,http://ogle.astrouw.edu.pl/ogle4/ews/blg-0642.html,BLG715.13  ,17:34:09.47,-24:52:57.1,2457314.420,2015-10-18.92,120.795,0.161,6.263,1.992,1.000,16.739,16.739
True,BLG-0729,8-7-2015 2:42:0,21.4104581615,178.216016389,http://ogle.astrouw.edu.pl/ogle4/ews/blg-0729.html,BLG520.05  ,18:07:34.38,-29:44:17.4,2457319.048,2015-10-23.55,92.671,0.221,4.614,1.660,1.000,16.338,16.338
True,BLG-1473,8-7-2015 2:42:0,22.0181633838,180.980555326,http://ogle.astrouw.edu.pl/ogle4/ews/blg-1473.html,BLG505.24  ,17:55:45.50,-29:08:48.2,2457275.233,2015-09-09.73,45.291,0.978,1.358,0.332,1.000,16.488,16.488
True,BLG-1479,8-7-2015 2:42:0,23.0591685773,177.137054956,http://ogle.astrouw.edu.pl/ogle4/ews/blg-1479.html,BLG524.32  ,18:11:51.71,-28:03:16.4,2457266.252,2015-08-31.75,39.120,0.746,1.606,0.514,1.000,16.485,16.485
True,BLG-1516,8-7-2015 2:42:0,22.3410755308,180.163941478,http://ogle.astrouw.edu.pl/ogle4/ews/blg-1516.html,BLG505.27  ,17:59:13.76,-28:49:50.0,2457289.136,2015-09-23.64,64.333,0.343,3.042,1.208,0.341,15.072,16.241
True,BLG-1578,8-7-2015 2:42:0,24.4685968204,178.133882686,http://ogle.astrouw.edu.pl/ogle4/ews/blg-1578.html,BLG518.22  ,18:07:31.52,-26:40:44.8,2457314.864,2015-10-19.36,53.880,0.000,16763,10.561,1.000,15.556,15.556
True,BLG-1579,8-7-2015 2:42:0,21.0922057285,177.691115686,http://ogle.astrouw.edu.pl/ogle4/ews/blg-1579.html,BLG521.27  ,18:09:52.56,-30:02:26.0,2457330.311,2015-11-03.81,88.858,1.145,1.255,0.246,1.000,16.023,16.023
True,BLG-1601,8-7-2015 2:42:0,22.1253680551,181.49483543,http://ogle.astrouw.edu.pl/ogle4/ews/blg-1601.html,BLG500.02  ,17:53:35.20,-29:01:49.3,2457259.437,2015-08-24.94,21.356,0.000,53811,11.827,1.000,16.735,16.735
True,BLG-1609,8-7-2015 2:42:0,24.2599832554,179.175087294,http://ogle.astrouw.edu.pl/ogle4/ews/blg-1609.html,BLG511.29  ,18:03:17.71,-26:54:25.6,2457261.240,2015-08-26.74,23.154,0.578,1.939,0.719,1.000,16.421,16.421
True,BLG-1643,8-7-2015 2:42:0,21.8955047309,181.150375057,http://ogle.astrouw.edu.pl/ogle4/ews/blg-1643.html,BLG505.16  ,17:55:01.64,-29:16:00.3,2457286.284,2015-09-20.78,31.391,0.000,9991.7,9.999,1.000,16.832,16.832
True,BLG-1656,8-7-2015 2:42:0,22.6120476702,186.827905542,http://ogle.astrouw.edu.pl/ogle4/ews/blg-1656.html,BLG612.10  ,17:31:17.99,-28:13:39.3,2457267.757,2015-09-02.26,28.181,0.000,42700,11.576,1.000,16.337,16.337
True,BLG-1686,8-7-2015 2:42:0,23.8792377863,176.229553427,http://ogle.astrouw.edu.pl/ogle4/ews/blg-1686.html,BLG523.19  ,18:15:25.61,-27:11:35.6,2457243.716,2015-08-09.22,16.085,0.000,8958.6,9.881,1.000,16.972,16.972
True,BLG-1705,8-7-2015 2:42:0,21.5835086089,180.827861104,http://ogle.astrouw.edu.pl/ogle4/ews/blg-1705.html,BLG505.06  ,17:56:22.85,-29:35:00.0,2457264.664,2015-08-30.16,19.031,0.000,313371,13.740,1.000,16.398,16.398
True,BLG-1739,8-7-2015 2:42:0,21.9584555954,181.818947015,http://ogle.astrouw.edu.pl/ogle4/ews/blg-1739.html,BLG500.04  ,17:52:11.52,-29:11:22.1,2457332.803,2015-11-06.30,52.223,0.000,38896,11.475,1.000,16.861,16.861
True,BLG-1755,8-7-2015 2:42:0,23.292731823,175.393259298,http://ogle.astrouw.edu.pl/ogle4/ews/blg-1755.html,BLG531.22  ,18:19:02.66,-27:43:45.7,2457431.327,2016-02-12.83,99.764,0.000,12756,10.264,1.000,13.937,13.937
True,BLG-1769,8-7-2015 2:42:0,21.3649323026,181.643178377,http://ogle.astrouw.edu.pl/ogle4/ews/blg-1769.html,BLG501.20  ,17:52:52.12,-29:47:13.9,2457254.181,2015-08-19.68,11.016,0.000,34498,11.345,1.000,16.804,16.804
True,BLG-0642,8-7-2015 3:36:0,23.1917771252,201.18748067,http://ogle.astrouw.edu.pl/ogle4/ews/blg-0642.html,BLG715.13  ,17:34:09.47,-24:52:57.1,2457314.420,2015-10-18.92,120.795,0.161,6.263,1.992,1.000,16.739,16.739
True,BLG-1479,8-7-2015 3:36:0,22.1758698809,191.481412444,http://ogle.astrouw.edu.pl/ogle4/ews/blg-1479.html,BLG524.32  ,18:11:51.71,-28:03:16.4,2457266.252,2015-08-31.75,39.120,0.746,1.606,0.514,1.000,16.485,16.485
True,BLG-1578,8-7-2015 3:36:0,23.3503014726,192.782557474,http://ogle.astrouw.edu.pl/ogle4/ews/blg-1578.html,BLG518.22  ,18:07:31.52,-26:40:44.8,2457314.864,2015-10-19.36,53.880,0.000,16763,10.561,1.000,15.556,15.556
True,BLG-1609,8-7-2015 3:36:0,22.9379307632,193.738762635,http://ogle.astrouw.edu.pl/ogle4/ews/blg-1609.html,BLG511.29  ,18:03:17.71,-26:54:25.6,2457261.240,2015-08-26.74,23.154,0.578,1.939,0.719,1.000,16.421,16.421
True,BLG-1686,8-7-2015 3:36:0,23.1588324411,190.79667626,http://ogle.astrouw.edu.pl/ogle4/ews/blg-1686.html,BLG523.19  ,18:15:25.61,-27:11:35.6,2457243.716,2015-08-09.22,16.085,0.000,8958.6,9.881,1.000,16.972,16.972
True,BLG-1755,8-7-2015 3:36:0,22.7555760969,189.844451481,http://ogle.astrouw.edu.pl/ogle4/ews/blg-1755.html,BLG531.22  ,18:19:02.66,-27:43:45.7,2457431.327,2016-02-12.83,99.764,0.000,12756,10.264,1.000,13.937,13.937
True,BLG-0642,8-8-2015 0:0:0,22.8532241694,157.715882033,http://ogle.astrouw.edu.pl/ogle4/ews/blg-0642.html,BLG715.13  ,17:34:09.47,-24:52:57.1,2457314.420,2015-10-18.92,120.795,0.161,6.263,1.992,1.000,16.739,16.739
True,BLG-0642,8-8-2015 0:54:0,22.8532241694,157.715882033,http://ogle.astrouw.edu.pl/ogle4/ews/blg-0642.html,BLG715.13  ,17:34:09.47,-24:52:57.1,2457314.420,2015-10-18.92,120.795,0.161,6.263,1.992,1.000,16.739,16.739
True,BLG-0642,8-8-2015 1:48:0,25.8917334453,172.321242711,http://ogle.astrouw.edu.pl/ogle4/ews/blg-0642.html,BLG715.13  ,17:34:09.47,-24:52:57.1,2457314.420,2015-10-18.92,120.795,0.161,6.263,1.992,1.000,16.739,16.739
True,BLG-1479,8-8-2015 1:48:0,21.2496300418,163.890156882,http://ogle.astrouw.edu.pl/ogle4/ews/blg-1479.html,BLG524.32  ,18:11:51.71,-28:03:16.4,2457266.252,2015-08-31.75,39.120,0.746,1.606,0.514,1.000,16.485,16.485
True,BLG-1516,8-8-2015 1:48:0,21.1117362359,166.978747286,http://ogle.astrouw.edu.pl/ogle4/ews/blg-1516.html,BLG505.27  ,17:59:13.76,-28:49:50.0,2457289.136,2015-09-23.64,64.333,0.343,3.042,1.208,0.341,15.072,16.241
True,BLG-1578,8-8-2015 1:48:0,22.8150787914,164.544696708,http://ogle.astrouw.edu.pl/ogle4/ews/blg-1578.html,BLG518.22  ,18:07:31.52,-26:40:44.8,2457314.864,2015-10-19.36,53.880,0.000,16763,10.561,1.000,15.556,15.556
True,BLG-1601,8-8-2015 1:48:0,21.150649981,168.318944754,http://ogle.astrouw.edu.pl/ogle4/ews/blg-1601.html,BLG500.02  ,17:53:35.20,-29:01:49.3,2457259.437,2015-08-24.94,21.356,0.000,53811,11.827,1.000,16.735,16.735
True,BLG-1609,8-8-2015 1:48:0,22.8051495239,165.598179776,http://ogle.astrouw.edu.pl/ogle4/ews/blg-1609.html,BLG511.29  ,18:03:17.71,-26:54:25.6,2457261.240,2015-08-26.74,23.154,0.578,1.939,0.719,1.000,16.421,16.421
True,BLG-1656,8-8-2015 1:48:0,22.6352936989,173.414680365,http://ogle.astrouw.edu.pl/ogle4/ews/blg-1656.html,BLG612.10  ,17:31:17.99,-28:13:39.3,2457267.757,2015-09-02.26,28.181,0.000,42700,11.576,1.000,16.337,16.337
True,BLG-1686,8-8-2015 1:48:0,21.8844577674,162.835261005,http://ogle.astrouw.edu.pl/ogle4/ews/blg-1686.html,BLG523.19  ,18:15:25.61,-27:11:35.6,2457243.716,2015-08-09.22,16.085,0.000,8958.6,9.881,1.000,16.972,16.972
True,BLG-1739,8-8-2015 1:48:0,21.0482519004,168.670586677,http://ogle.astrouw.edu.pl/ogle4/ews/blg-1739.html,BLG500.04  ,17:52:11.52,-29:11:22.1,2457332.803,2015-11-06.30,52.223,0.000,38896,11.475,1.000,16.861,16.861
True,BLG-1755,8-8-2015 1:48:0,21.15543017,162.15547889,http://ogle.astrouw.edu.pl/ogle4/ews/blg-1755.html,BLG531.22  ,18:19:02.66,-27:43:45.7,2457431.327,2016-02-12.83,99.764,0.000,12756,10.264,1.000,13.937,13.937
True,BLG-0642,8-8-2015 2:42:0,25.911048489,187.490541649,http://ogle.astrouw.edu.pl/ogle4/ews/blg-0642.html,BLG715.13  ,17:34:09.47,-24:52:57.1,2457314.420,2015-10-18.92,120.795,0.161,6.263,1.992,1.000,16.739,16.739
True,BLG-0729,8-8-2015 2:42:0,21.4282059567,179.135151777,http://ogle.astrouw.edu.pl/ogle4/ews/blg-0729.html,BLG520.05  ,18:07:34.38,-29:44:17.4,2457319.048,2015-10-23.55,92.671,0.221,4.614,1.660,1.000,16.338,16.338
True,BLG-1473,8-8-2015 2:42:0,21.9988042113,181.9088204,http://ogle.astrouw.edu.pl/ogle4/ews/blg-1473.html,BLG505.24  ,17:55:45.50,-29:08:48.2,2457275.233,2015-09-09.73,45.291,0.978,1.358,0.332,1.000,16.488,16.488
True,BLG-1479,8-8-2015 2:42:0,23.0911963256,178.081893149,http://ogle.astrouw.edu.pl/ogle4/ews/blg-1479.html,BLG524.32  ,18:11:51.71,-28:03:16.4,2457266.252,2015-08-31.75,39.120,0.746,1.606,0.514,1.000,16.485,16.485
True,BLG-1516,8-8-2015 2:42:0,22.3326235436,181.09741765,http://ogle.astrouw.edu.pl/ogle4/ews/blg-1516.html,BLG505.27  ,17:59:13.76,-28:49:50.0,2457289.136,2015-09-23.64,64.333,0.343,3.042,1.208,0.341,15.072,16.241
True,BLG-1578,8-8-2015 2:42:0,24.4871212687,179.101352469,http://ogle.astrouw.edu.pl/ogle4/ews/blg-1578.html,BLG518.22  ,18:07:31.52,-26:40:44.8,2457314.864,2015-10-19.36,53.880,0.000,16763,10.561,1.000,15.556,15.556
True,BLG-1579,8-8-2015 2:42:0,21.1170183634,178.605320355,http://ogle.astrouw.edu.pl/ogle4/ews/blg-1579.html,BLG521.27  ,18:09:52.56,-30:02:26.0,2457330.311,2015-11-03.81,88.858,1.145,1.255,0.246,1.000,16.023,16.023
True,BLG-1601,8-8-2015 2:42:0,22.0991094549,182.424635531,http://ogle.astrouw.edu.pl/ogle4/ews/blg-1601.html,BLG500.02  ,17:53:35.20,-29:01:49.3,2457259.437,2015-08-24.94,21.356,0.000,53811,11.827,1.000,16.735,16.735
True,BLG-1609,8-8-2015 2:42:0,24.2645782751,180.139170658,http://ogle.astrouw.edu.pl/ogle4/ews/blg-1609.html,BLG511.29  ,18:03:17.71,-26:54:25.6,2457261.240,2015-08-26.74,23.154,0.578,1.939,0.719,1.000,16.421,16.421
True,BLG-1643,8-8-2015 2:42:0,21.8738835787,182.076688144,http://ogle.astrouw.edu.pl/ogle4/ews/blg-1643.html,BLG505.16  ,17:55:01.64,-29:16:00.3,2457286.284,2015-09-20.78,31.391,0.000,9991.7,9.999,1.000,16.832,16.832
True,BLG-1656,8-8-2015 2:42:0,22.5145446158,187.762371061,http://ogle.astrouw.edu.pl/ogle4/ews/blg-1656.html,BLG612.10  ,17:31:17.99,-28:13:39.3,2457267.757,2015-09-02.26,28.181,0.000,42700,11.576,1.000,16.337,16.337
True,BLG-1686,8-8-2015 2:42:0,23.9233262743,177.187277166,http://ogle.astrouw.edu.pl/ogle4/ews/blg-1686.html,BLG523.19  ,18:15:25.61,-27:11:35.6,2457243.716,2015-08-09.22,16.085,0.000,8958.6,9.881,1.000,16.972,16.972
True,BLG-1705,8-8-2015 2:42:0,21.5662402175,181.749408051,http://ogle.astrouw.edu.pl/ogle4/ews/blg-1705.html,BLG505.06  ,17:56:22.85,-29:35:00.0,2457264.664,2015-08-30.16,19.031,0.000,313371,13.740,1.000,16.398,16.398
True,BLG-1739,8-8-2015 2:42:0,21.9278744221,182.746047382,http://ogle.astrouw.edu.pl/ogle4/ews/blg-1739.html,BLG500.04  ,17:52:11.52,-29:11:22.1,2457332.803,2015-11-06.30,52.223,0.000,38896,11.475,1.000,16.861,16.861
True,BLG-1755,8-8-2015 2:42:0,23.3480684261,176.341411387,http://ogle.astrouw.edu.pl/ogle4/ews/blg-1755.html,BLG531.22  ,18:19:02.66,-27:43:45.7,2457431.327,2016-02-12.83,99.764,0.000,12756,10.264,1.000,13.937,13.937
True,BLG-1769,8-8-2015 2:42:0,21.3367662369,182.561133708,http://ogle.astrouw.edu.pl/ogle4/ews/blg-1769.html,BLG501.20  ,17:52:52.12,-29:47:13.9,2457254.181,2015-08-19.68,11.016,0.000,34498,11.345,1.000,16.804,16.804
True,BLG-0642,8-8-2015 3:36:0,22.9085080249,202.109161453,http://ogle.astrouw.edu.pl/ogle4/ews/blg-0642.html,BLG715.13  ,17:34:09.47,-24:52:57.1,2457314.420,2015-10-18.92,120.795,0.161,6.263,1.992,1.000,16.739,16.739
True,BLG-1479,8-8-2015 3:36:0,22.0169716689,192.404400251,http://ogle.astrouw.edu.pl/ogle4/ews/blg-1479.html,BLG524.32  ,18:11:51.71,-28:03:16.4,2457266.252,2015-08-31.75,39.120,0.746,1.606,0.514,1.000,16.485,16.485
True,BLG-1578,8-8-2015 3:36:0,23.1742792117,193.721856914,http://ogle.astrouw.edu.pl/ogle4/ews/blg-1578.html,BLG518.22  ,18:07:31.52,-26:40:44.8,2457314.864,2015-10-19.36,53.880,0.000,16763,10.561,1.000,15.556,15.556
True,BLG-1609,8-8-2015 3:36:0,22.7495103467,194.670337064,http://ogle.astrouw.edu.pl/ogle4/ews/blg-1609.html,BLG511.29  ,18:03:17.71,-26:54:25.6,2457261.240,2015-08-26.74,23.154,0.578,1.939,0.719,1.000,16.421,16.421
True,BLG-1686,8-8-2015 3:36:0,23.0088183367,191.735629711,http://ogle.astrouw.edu.pl/ogle4/ews/blg-1686.html,BLG523.19  ,18:15:25.61,-27:11:35.6,2457243.716,2015-08-09.22,16.085,0.000,8958.6,9.881,1.000,16.972,16.972
True,BLG-1755,8-8-2015 3:36:0,22.6181315485,190.778258952,http://ogle.astrouw.edu.pl/ogle4/ews/blg-1755.html,BLG531.22  ,18:19:02.66,-27:43:45.7,2457431.327,2016-02-12.83,99.764,0.000,12756,10.264,1.000,13.937,13.937
True,BLG-0642,8-9-2015 0:0:0,23.1386785078,158.636396156,http://ogle.astrouw.edu.pl/ogle4/ews/blg-0642.html,BLG715.13  ,17:34:09.47,-24:52:57.1,2457314.420,2015-10-18.92,120.795,0.161,6.263,1.992,1.000,16.739,16.739
True,BLG-0642,8-9-2015 0:54:0,23.1386785078,158.636396156,http://ogle.astrouw.edu.pl/ogle4/ews/blg-0642.html,BLG715.13  ,17:34:09.47,-24:52:57.1,2457314.420,2015-10-18.92,120.795,0.161,6.263,1.992,1.000,16.739,16.739
True,BLG-0642,8-9-2015 1:48:0,25.9877653216,173.309817303,http://ogle.astrouw.edu.pl/ogle4/ews/blg-0642.html,BLG715.13  ,17:34:09.47,-24:52:57.1,2457314.420,2015-10-18.92,120.795,0.161,6.263,1.992,1.000,16.739,16.739
True,BLG-1473,8-9-2015 1:48:0,21.1046909354,168.749255848,http://ogle.astrouw.edu.pl/ogle4/ews/blg-1473.html,BLG505.24  ,17:55:45.50,-29:08:48.2,2457275.233,2015-09-09.73,45.291,0.978,1.358,0.332,1.000,16.488,16.488
True,BLG-1479,8-9-2015 1:48:0,21.4568490064,164.797213142,http://ogle.astrouw.edu.pl/ogle4/ews/blg-1479.html,BLG524.32  ,18:11:51.71,-28:03:16.4,2457266.252,2015-08-31.75,39.120,0.746,1.606,0.514,1.000,16.485,16.485
True,BLG-1516,8-9-2015 1:48:0,21.2788068733,167.887369968,http://ogle.astrouw.edu.pl/ogle4/ews/blg-1516.html,BLG505.27  ,17:59:13.76,-28:49:50.0,2457289.136,2015-09-23.64,64.333,0.343,3.042,1.208,0.341,15.072,16.241
True,BLG-1578,8-9-2015 1:48:0,23.0136796516,165.47623188,http://ogle.astrouw.edu.pl/ogle4/ews/blg-1578.html,BLG518.22  ,18:07:31.52,-26:40:44.8,2457314.864,2015-10-19.36,53.880,0.000,16763,10.561,1.000,15.556,15.556
True,BLG-1601,8-9-2015 1:48:0,21.300133544,169.229459737,http://ogle.astrouw.edu.pl/ogle4/ews/blg-1601.html,BLG500.02  ,17:53:35.20,-29:01:49.3,2457259.437,2015-08-24.94,21.356,0.000,53811,11.827,1.000,16.735,16.735
True,BLG-1609,8-9-2015 1:48:0,22.9900715765,166.530949238,http://ogle.astrouw.edu.pl/ogle4/ews/blg-1609.html,BLG511.29  ,18:03:17.71,-26:54:25.6,2457261.240,2015-08-26.74,23.154,0.578,1.939,0.719,1.000,16.421,16.421
True,BLG-1643,8-9-2015 1:48:0,21.0140100708,168.939829983,http://ogle.astrouw.edu.pl/ogle4/ews/blg-1643.html,BLG505.16  ,17:55:01.64,-29:16:00.3,2457286.284,2015-09-20.78,31.391,0.000,9991.7,9.999,1.000,16.832,16.832
True,BLG-1656,8-9-2015 1:48:0,22.7171136633,174.351677819,http://ogle.astrouw.edu.pl/ogle4/ews/blg-1656.html,BLG612.10  ,17:31:17.99,-28:13:39.3,2457267.757,2015-09-02.26,28.181,0.000,42700,11.576,1.000,16.337,16.337
True,BLG-1686,8-9-2015 1:48:0,22.1052023078,163.750319117,http://ogle.astrouw.edu.pl/ogle4/ews/blg-1686.html,BLG523.19  ,18:15:25.61,-27:11:35.6,2457243.716,2015-08-09.22,16.085,0.000,8958.6,9.881,1.000,16.972,16.972
True,BLG-1739,8-9-2015 1:48:0,21.1931183824,169.579867069,http://ogle.astrouw.edu.pl/ogle4/ews/blg-1739.html,BLG500.04  ,17:52:11.52,-29:11:22.1,2457332.803,2015-11-06.30,52.223,0.000,38896,11.475,1.000,16.861,16.861
True,BLG-1755,8-9-2015 1:48:0,21.3849600511,163.058723642,http://ogle.astrouw.edu.pl/ogle4/ews/blg-1755.html,BLG531.22  ,18:19:02.66,-27:43:45.7,2457431.327,2016-02-12.83,99.764,0.000,12756,10.264,1.000,13.937,13.937
True,BLG-0642,8-9-2015 2:42:0,25.8043978883,188.477083213,http://ogle.astrouw.edu.pl/ogle4/ews/blg-0642.html,BLG715.13  ,17:34:09.47,-24:52:57.1,2457314.420,2015-10-18.92,120.795,0.161,6.263,1.992,1.000,16.739,16.739
True,BLG-0729,8-9-2015 2:42:0,21.433635655,180.054539322,http://ogle.astrouw.edu.pl/ogle4/ews/blg-0729.html,BLG520.05  ,18:07:34.38,-29:44:17.4,2457319.048,2015-10-23.55,92.671,0.221,4.614,1.660,1.000,16.338,16.338
True,BLG-1473,8-9-2015 2:42:0,21.967015568,182.836519737,http://ogle.astrouw.edu.pl/ogle4/ews/blg-1473.html,BLG505.24  ,17:55:45.50,-29:08:48.2,2457275.233,2015-09-09.73,45.291,0.978,1.358,0.332,1.000,16.488,16.488
True,BLG-1479,8-9-2015 2:42:0,23.110564967,179.027318796,http://ogle.astrouw.edu.pl/ogle4/ews/blg-1479.html,BLG524.32  ,18:11:51.71,-28:03:16.4,2457266.252,2015-08-31.75,39.120,0.746,1.606,0.514,1.000,16.485,16.485
True,BLG-1516,8-9-2015 2:42:0,22.3116660537,182.030565172,http://ogle.astrouw.edu.pl/ogle4/ews/blg-1516.html,BLG505.27  ,17:59:13.76,-28:49:50.0,2457289.136,2015-09-23.64,64.333,0.343,3.042,1.208,0.341,15.072,16.241
True,BLG-1578,8-9-2015 2:42:0,24.4926798203,180.069109671,http://ogle.astrouw.edu.pl/ogle4/ews/blg-1578.html,BLG518.22  ,18:07:31.52,-26:40:44.8,2457314.864,2015-10-19.36,53.880,0.000,16763,10.561,1.000,15.556,15.556
True,BLG-1579,8-9-2015 2:42:0,21.1295801975,179.519927878,http://ogle.astrouw.edu.pl/ogle4/ews/blg-1579.html,BLG521.27  ,18:09:52.56,-30:02:26.0,2457330.311,2015-11-03.81,88.858,1.145,1.255,0.246,1.000,16.023,16.023
True,BLG-1601,8-9-2015 2:42:0,22.0604060997,183.353715145,http://ogle.astrouw.edu.pl/ogle4/ews/blg-1601.html,BLG500.02  ,17:53:35.20,-29:01:49.3,2457259.437,2015-08-24.94,21.356,0.000,53811,11.827,1.000,16.735,16.735
True,BLG-1609,8-9-2015 2:42:0,24.2562534467,181.10320981,http://ogle.astrouw.edu.pl/ogle4/ews/blg-1609.html,BLG511.29  ,18:03:17.71,-26:54:25.6,2457261.240,2015-08-26.74,23.154,0.578,1.939,0.719,1.000,16.421,16.421
True,BLG-1643,8-9-2015 2:42:0,21.8398606826,183.002388092,http://ogle.astrouw.edu.pl/ogle4/ews/blg-1643.html,BLG505.16  ,17:55:01.64,-29:16:00.3,2457286.284,2015-09-20.78,31.391,0.000,9991.7,9.999,1.000,16.832,16.832
True,BLG-1656,8-9-2015 2:42:0,22.4046484167,188.694522994,http://ogle.astrouw.edu.pl/ogle4/ews/blg-1656.html,BLG612.10  ,17:31:17.99,-28:13:39.3,2457267.757,2015-09-02.26,28.181,0.000,42700,11.576,1.000,16.337,16.337
True,BLG-1686,8-9-2015 2:42:0,23.9545893616,178.14588389,http://ogle.astrouw.edu.pl/ogle4/ews/blg-1686.html,BLG523.19  ,18:15:25.61,-27:11:35.6,2457243.716,2015-08-09.22,16.085,0.000,8958.6,9.881,1.000,16.972,16.972
True,BLG-1705,8-9-2015 2:42:0,21.5366308818,182.670443059,http://ogle.astrouw.edu.pl/ogle4/ews/blg-1705.html,BLG505.06  ,17:56:22.85,-29:35:00.0,2457264.664,2015-08-30.16,19.031,0.000,313371,13.740,1.000,16.398,16.398
True,BLG-1739,8-9-2015 2:42:0,21.8848883944,183.672336136,http://ogle.astrouw.edu.pl/ogle4/ews/blg-1739.html,BLG500.04  ,17:52:11.52,-29:11:22.1,2457332.803,2015-11-06.30,52.223,0.000,38896,11.475,1.000,16.861,16.861
True,BLG-1755,8-9-2015 2:42:0,23.3907167073,177.290690881,http://ogle.astrouw.edu.pl/ogle4/ews/blg-1755.html,BLG531.22  ,18:19:02.66,-27:43:45.7,2457431.327,2016-02-12.83,99.764,0.000,12756,10.264,1.000,13.937,13.937
True,BLG-1769,8-9-2015 2:42:0,21.2963154434,183.478345063,http://ogle.astrouw.edu.pl/ogle4/ews/blg-1769.html,BLG501.20  ,17:52:52.12,-29:47:13.9,2457254.181,2015-08-19.68,11.016,0.000,34498,11.345,1.000,16.804,16.804
True,BLG-0642,8-9-2015 3:36:0,22.6138336492,203.024656192,http://ogle.astrouw.edu.pl/ogle4/ews/blg-0642.html,BLG715.13  ,17:34:09.47,-24:52:57.1,2457314.420,2015-10-18.92,120.795,0.161,6.263,1.992,1.000,16.739,16.739
True,BLG-1479,8-9-2015 3:36:0,21.8460162224,193.323804433,http://ogle.astrouw.edu.pl/ogle4/ews/blg-1479.html,BLG524.32  ,18:11:51.71,-28:03:16.4,2457266.252,2015-08-31.75,39.120,0.746,1.606,0.514,1.000,16.485,16.485
True,BLG-1578,8-9-2015 3:36:0,22.9860547481,194.65707582,http://ogle.astrouw.edu.pl/ogle4/ews/blg-1578.html,BLG518.22  ,18:07:31.52,-26:40:44.8,2457314.864,2015-10-19.36,53.880,0.000,16763,10.561,1.000,15.556,15.556
True,BLG-1609,8-9-2015 3:36:0,22.5490402068,195.59762502,http://ogle.astrouw.edu.pl/ogle4/ews/blg-1609.html,BLG511.29  ,18:03:17.71,-26:54:25.6,2457261.240,2015-08-26.74,23.154,0.578,1.939,0.719,1.000,16.421,16.421
True,BLG-1686,8-9-2015 3:36:0,22.8465068457,192.671080123,http://ogle.astrouw.edu.pl/ogle4/ews/blg-1686.html,BLG523.19  ,18:15:25.61,-27:11:35.6,2457243.716,2015-08-09.22,16.085,0.000,8958.6,9.881,1.000,16.972,16.972
True,BLG-1755,8-9-2015 3:36:0,22.4684143426,191.708875031,http://ogle.astrouw.edu.pl/ogle4/ews/blg-1755.html,BLG531.22  ,18:19:02.66,-27:43:45.7,2457431.327,2016-02-12.83,99.764,0.000,12756,10.264,1.000,13.937,13.937
True,BLG-0642,8-10-2015 0:0:0,23.4126064247,159.562964597,http://ogle.astrouw.edu.pl/ogle4/ews/blg-0642.html,BLG715.13  ,17:34:09.47,-24:52:57.1,2457314.420,2015-10-18.92,120.795,0.161,6.263,1.992,1.000,16.739,16.739
