Active,Name,Date-Time(UTC),Alt,Azmu,HTML,StarNo,RA(J2000),DEC(J2000),T_MAX(HJD),T_MAX(UT),tau,U_min,A_MAX,D_mag,f_bl,I_bl,I_o
True,BLG-0642,9-23-2015 0:0:0,22.7702317776,202.543927512,http://ogle.astrouw.edu.pl/ogle4/ews/blg-0642.html,BLG715.13  ,17:34:09.47,-24:52:57.1,2457314.420,2015-10-18.92,120.795,0.161,6.263,1.992,1.000,16.739,16.739
True,BLG-1578,9-23-2015 0:0:0,23.0865673122,194.165715545,http://ogle.astrouw.edu.pl/ogle4/ews/blg-1578.html,BLG518.22  ,18:07:31.52,-26:40:44.8,2457314.864,2015-10-19.36,53.880,0.000,16763,10.561,1.000,15.556,15.556
True,BLG-1755,9-23-2015 0:0:0,22.5486839227,191.219825622,http://ogle.astrouw.edu.pl/ogle4/ews/blg-1755.html,BLG531.22  ,18:19:02.66,-27:43:45.7,2457431.327,2016-02-12.83,99.764,0.000,12756,10.264,1.000,13.937,13.937
True,BLG-0642,9-23-2015 0:54:0,22.7702317776,202.543927512,http://ogle.astrouw.edu.pl/ogle4/ews/blg-0642.html,BLG715.13  ,17:34:09.47,-24:52:57.1,2457314.420,2015-10-18.92,120.795,0.161,6.263,1.992,1.000,16.739,16.739
True,BLG-1578,9-23-2015 0:54:0,23.0865673122,194.165715545,http://ogle.astrouw.edu.pl/ogle4/ews/blg-1578.html,BLG518.22  ,18:07:31.52,-26:40:44.8,2457314.864,2015-10-19.36,53.880,0.000,16763,10.561,1.000,15.556,15.556
True,BLG-1755,9-23-2015 0:54:0,22.5486839227,191.219825622,http://ogle.astrouw.edu.pl/ogle4/ews/blg-1755.html,BLG531.22  ,18:19:02.66,-27:43:45.7,2457431.327,2016-02-12.83,99.764,0.000,12756,10.264,1.000,13.937,13.937
True,BLG-0642,9-24-2015 0:0:0,22.4702039552,203.456435996,http://ogle.astrouw.edu.pl/ogle4/ews/blg-0642.html,BLG715.13  ,17:34:09.47,-24:52:57.1,2457314.420,2015-10-18.92,120.795,0.161,6.263,1.992,1.000,16.739,16.739
True,BLG-1578,9-24-2015 0:0:0,22.8925946914,195.098918051,http://ogle.astrouw.edu.pl/ogle4/ews/blg-1578.html,BLG518.22  ,18:07:31.52,-26:40:44.8,2457314.864,2015-10-19.36,53.880,0.000,16763,10.561,1.000,15.556,15.556
True,BLG-1755,9-24-2015 0:0:0,22.3931775828,192.148841941,http://ogle.astrouw.edu.pl/ogle4/ews/blg-1755.html,BLG531.22  ,18:19:02.66,-27:43:45.7,2457431.327,2016-02-12.83,99.764,0.000,12756,10.264,1.000,13.937,13.937
True,BLG-0642,9-24-2015 0:54:0,22.4702039552,203.456435996,http://ogle.astrouw.edu.pl/ogle4/ews/blg-0642.html,BLG715.13  ,17:34:09.47,-24:52:57.1,2457314.420,2015-10-18.92,120.795,0.161,6.263,1.992,1.000,16.739,16.739
